country,folder,year,ppp,currency,rate
ee,6,2004,0.620723,eur,1
el,7,2004,0.858778,eur,1
es,8,2004,0.883607,eur,1
fr,9,2004,1.0998,eur,1
it,10,2004,1.0362,eur,1
cy,11,2004,,cyp,
lv,12,2004,,lvl,
lt,13,2004,,ltl,
lu,14,2004,1.03241,eur,1
hu,15,2004,,huf,
mt,16,2004,,mtl,
nl,17,2004,,eur,
at,18,2004,1.03299,eur,1
pl,19,2004,,pln,
pt,20,2004,0.860292,eur,1
ro,21,2004,,ron,
si,22,2004,,sit,
sk,23,2004,,skk,
fi,24,2004,1.26594,eur,1
se,25,2004,11.2692,sek,9.1242
is,26,2004,119.99,isk,86.65
no,27,2004,11.3729,nok,8.0033
ch,28,2004,,chf,
tr,30,2004,,try,
ie,31,2004,1.26154,eur,1
uk,32,2004,,gbp,
be,1,2003,1.01484,eur,1
bg,2,2003,,bgn,
cz,3,2003,,czk,
dk,4,2003,9.94374,dkk,7.4305
de,5,2003,,eur,
ee,6,2003,,eek,
el,7,2003,0.801887,eur,1
es,8,2003,,eur,
fr,9,2003,,eur,
it,10,2003,,eur,
cy,11,2003,,cyp,
lv,12,2003,,lvl,
lt,13,2003,,ltl,
lu,14,2003,1.02092,eur,1
hu,15,2003,,huf,
mt,16,2003,,mtl,
nl,17,2003,,eur,
at,18,2003,1.03425,eur,1
pl,19,2003,,pln,
pt,20,2003,,eur,
ro,21,2003,,ron,
si,22,2003,,sit,
sk,23,2003,,skk,
fi,24,2003,,eur,
se,25,2003,,sek,
is,26,2003,,isk,
no,27,2003,11.3521,nok,7.5086
ch,28,2003,,chf,
tr,30,2003,,try,
ie,31,2003,1.25808,eur,1
uk,32,2003,,gbp,
